"Christchurch, Vs30=400m/s, PGA, 10% in 50 years, 4.05e-01g magnitude bin edges = [4.997500000000011, 5.197400000000011, 5.39730000000001, 5.597200000000013, 5.797100000000009, 5.997000000000016, 6.196900000000008, 6.3968000000000185, 6.596700000000007, 6.796600000000021, 6.996500000000006, 7.196400000000024, 7.396300000000005, 7.596200000000026, 7.7961000000000045, 7.996000000000029, 8.195900000000004, 8.395800000000028, 8.595700000000006, 8.79560000000003, 8.995500000000005, 9.19540000000003, 9.395300000000008, 9.595200000000032, 9.795100000000007, 9.995000000000031] distance bin edges = [0.0, 5.0, 10.0, 15.0, 20.0, 30.0, 40.0, 50.0, 60.0, 80.0, 100.0, 140.0, 180.0, 220.0, 260.0, 320.0, 380.0, 500.0] epsilon bin edges = [-4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0] "
magnitude,distance (km),TRT,epsilon (sigma),annual probability of exceedance,% contribution to hazard
5.1,2,Active Shallow Crust,-3.750,1.221e-15,5.782e-11
5.1,2,Active Shallow Crust,-3.250,1.221e-15,5.782e-11
5.1,2,Active Shallow Crust,-2.750,1.221e-15,5.782e-11
5.1,2,Active Shallow Crust,-2.250,1.221e-15,5.782e-11
5.1,2,Active Shallow Crust,-1.750,1.221e-15,5.782e-11
5.1,2,Active Shallow Crust,-1.250,1.221e-15,5.782e-11
5.1,2,Active Shallow Crust,-0.750,1.221e-15,5.782e-11
5.1,2,Active Shallow Crust,-0.250,1.221e-15,5.782e-11
5.1,2,Active Shallow Crust,0.250,2.781e-06,1.317e-01
5.1,2,Active Shallow Crust,0.750,5.585e-06,2.644e-01
5.1,2,Active Shallow Crust,1.250,6.697e-06,3.171e-01
5.1,2,Active Shallow Crust,1.750,4.319e-06,2.045e-01
5.1,2,Active Shallow Crust,2.250,1.872e-06,8.866e-02
5.1,2,Active Shallow Crust,2.750,5.655e-07,2.677e-02
5.1,2,Active Shallow Crust,3.250,1.300e-07,6.155e-03
